"name","email","phone","website","address","city","country","postcode","wordpress","woocommerce","fedex"
"Jahan Jewellery","info@jahan.ch","+44 20 3887 7753","https://jahan.ch","6C Sloane Street","London","UK","","yes","yes","yes"
"Monocle","customerservice@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","kinghek@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","wilsonfw@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","chambersjch@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","amc@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","hek@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","fw@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","jch@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","akf@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","jaf@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","sg@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","nt@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","mpb@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","nm@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","jms@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","sbu@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","as@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","rj@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","lc@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","ra@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","lb@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","dp@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","aaa@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","advertising@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","selim@dlx.co","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","klu@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","ao@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","subscriptions@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Monocle","pc@monocle.com","+44 20 7486 8770","https://monocle.com","34 Chiltern Street","London","UK","W1U 7QH","yes","yes","yes"
"Cox &amp; Power Jewellers","marylebone@coxandpower.com","+44 20 7935 3530","https://coxandpower.com","10-12 Chiltern Street","London","UK","W1U 7PX","yes","yes","yes"
"Kettle Club -","","+44 20 3786 3017","https://www.kettleclub.co.uk","53 Liverpool Street","London","UK","EC2M 7QN","yes","yes","yes"
"Susannah Lovis Jewellers","info@susannahlovis.com","+44 20 7493 2008","https://www.susannahlovis.com","50 Burlington Arcade","London","UK","","yes","yes","yes"
"Maria Grachvogel","alex@mariagrachvogel.com","","https://www.mariagrachvogel.com","26 Brook Street","London","UK","","yes","yes","yes"
"Maria Grachvogel","info@mariagrachvogel.com","","https://www.mariagrachvogel.com","26 Brook Street","London","UK","","yes","yes","yes"
"Sarahandbendrix.com","info@yooako.com","","https://sarahandbendrix.com","6 Upper Mulgrave Road","Sutton","UK","SM2 7BA","yes","yes","yes"
